index,room,start_time,end_time,epoch
1,140,1705,1820,7
2,150,955,1070,7
3,150,1145,1260,7
4,160,1695,1810,7
5,160,1285,1400,7
6,160,1550,1665,7
7,155,1625,1740,7
8,155,1230,1345,7
9,145,1355,1470,7
10,155,1045,1160,7
11,260,1630,1680,7
12,145,1515,1630,7
13,230,1345,1460,7
14,230,1680,1795,7
15,230,1560,1675,7
16,140,1200,1315,7
17,140,1525,1640,7
18,150,1670,1785,7
19,145,820,935,7
20,145,1060,1175,7
21,145,1180,1295,7
22,240,840,955,7
23,240,1045,1160,7
24,240,1225,1340,7
25,140,790,905,7
26,140,925,1040,7
27,140,1080,1195,7
28,155,915,1030,7
29,160,1005,1120,7
30,160,1150,1265,7
31,155,1365,1480,7
32,150,1315,1365,7
33,130,1230,1345,7
34,130,1445,1560,7
35,130,1610,1725,7
36,240,1420,1535,7
37,230,890,1005,7
38,230,1025,1140,7
39,230,1185,1300,7
40,150,1395,1510,7
41,150,1515,1630,7
42,130,790,905,7
43,130,940,1055,7
44,130,1075,1190,7
0,140,1385,1500,8
1,140,1710,1825,8
2,150,930,1045,8
3,150,1125,1240,8
4,160,1685,1800,8
5,160,1295,1410,8
6,160,1560,1675,8
7,155,1620,1735,8
8,155,1215,1330,8
9,145,1370,1485,8
10,155,1050,1165,8
11,260,1645,1695,8
12,145,1505,1620,8
13,230,1335,1450,8
14,230,1695,1810,8
15,230,1555,1670,8
16,140,1205,1320,8
17,140,1530,1645,8
18,150,1685,1800,8
19,145,820,935,8
20,145,1025,1140,8
21,145,1165,1280,8
22,240,795,910,8
23,240,1070,1185,8
24,240,1305,1420,8
25,140,790,905,8
26,140,935,1050,8
27,140,1070,1185,8
28,155,915,1030,8
29,160,970,1085,8
30,160,1135,1250,8
31,155,1360,1475,8
32,150,1300,1350,8
33,130,1260,1375,8
34,130,1440,1555,8
35,130,1610,1725,8
36,240,1510,1625,8
37,230,900,1015,8
38,230,1035,1150,8
39,230,1165,1280,8
40,150,1395,1510,8
41,150,1515,1630,8
42,130,790,905,8
43,130,970,1085,8
44,130,1095,1210,8
0,140,1385,1500,9
1,140,1705,1820,9
2,150,945,1060,9
3,150,1125,1240,9
4,160,1710,1825,9
5,160,1290,1405,9
6,160,1555,1670,9
7,155,1645,1760,9
8,155,1280,1395,9
9,145,1355,1470,9
10,155,1080,1195,9
11,260,1630,1680,9
12,145,1550,1665,9
13,230,1340,1455,9
14,230,1690,1805,9
15,230,1550,1665,9
16,140,1225,1340,9
17,140,1505,1620,9
18,150,1665,1780,9
19,145,840,955,9
20,145,1055,1170,9
21,145,1205,1320,9
22,240,835,950,9
23,240,1040,1155,9
24,240,1225,1340,9
25,140,795,910,9
26,140,940,1055,9
27,140,1090,1205,9
28,155,850,965,9
29,160,995,1110,9
30,160,1130,1245,9
31,155,1430,1545,9
32,150,1315,1365,9
33,130,1235,1350,9
34,130,1435,1550,9
35,130,1625,1740,9
36,240,1410,1525,9
37,230,875,990,9
38,230,1050,1165,9
39,230,1195,1310,9
40,150,1390,1505,9
41,150,1525,1640,9
42,130,790,905,9
43,130,925,1040,9
44,130,1080,1195,9
0,140,1385,1500,10
1,140,1705,1820,10
2,150,945,1060,10
3,150,1125,1240,10
4,160,1710,1825,10
5,160,1290,1405,10
6,160,1555,1670,10
7,155,1645,1760,10
8,155,1280,1395,10
9,145,1355,1470,10
10,155,1080,1195,10
11,260,1630,1680,10
12,145,1550,1665,10
13,230,1340,1455,10
14,230,1690,1805,10
15,230,1550,1665,10
16,140,1225,1340,10
17,140,1505,1620,10
18,150,1665,1780,10
19,145,840,955,10
20,145,1055,1170,10
21,145,1205,1320,10
22,240,835,950,10
23,240,1040,1155,10
24,240,1225,1340,10
25,140,795,910,10
26,140,940,1055,10
27,140,1090,1205,10
28,155,850,965,10
29,160,995,1110,10
30,160,1130,1245,10
31,155,1430,1545,10
32,150,1315,1365,10
33,130,1235,1350,10
34,130,1435,1550,10
35,130,1625,1740,10
36,240,1410,1525,10
37,230,875,990,10
38,230,1050,1165,10
39,230,1195,1310,10
40,150,1390,1505,10
41,150,1525,1640,10
42,130,790,905,10
43,130,925,1040,10
44,130,1080,1195,10
0,140,1385,1500,11
1,140,1705,1820,11
2,150,945,1060,11
3,150,1125,1240,11
4,160,1710,1825,11
5,160,1290,1405,11
6,160,1555,1670,11
7,155,1645,1760,11
8,155,1280,1395,11
9,145,1355,1470,11
10,155,1080,1195,11
11,260,1630,1680,11
12,145,1550,1665,11
13,230,1340,1455,11
14,230,1690,1805,11
15,230,1550,1665,11
16,140,1225,1340,11
17,140,1505,1620,11
18,150,1665,1780,11
19,145,840,955,11
20,145,1055,1170,11
21,145,1205,1320,11
22,240,835,950,11
23,240,1040,1155,11
24,240,1225,1340,11
25,140,795,910,11
26,140,940,1055,11
27,140,1090,1205,11
28,155,850,965,11
29,160,995,1110,11
30,160,1130,1245,11
31,155,1430,1545,11
32,150,1315,1365,11
33,130,1235,1350,11
34,130,1435,1550,11
35,130,1625,1740,11
36,240,1410,1525,11
37,230,875,990,11
38,230,1050,1165,11
39,230,1195,1310,11
40,150,1390,1505,11
41,150,1525,1640,11
42,130,790,905,11
43,130,925,1040,11
44,130,1080,1195,11
0,140,1380,1495,12
1,140,1695,1810,12
2,150,960,1075,12
3,150,1125,1240,12
4,160,1710,1825,12
5,160,1290,1405,12
6,160,1560,1675,12
7,155,1640,1755,12
8,155,1265,1380,12
9,145,1360,1475,12
10,155,1080,1195,12
11,260,1620,1670,12
12,145,1540,1655,12
13,230,1345,1460,12
14,230,1710,1825,12
15,230,1550,1665,12
16,140,1215,1330,12
17,140,1540,1655,12
18,150,1705,1820,12
19,145,830,945,12
20,145,1055,1170,12
21,145,1200,1315,12
22,240,830,945,12
23,240,1065,1180,12
24,240,1220,1335,12
25,140,790,905,12
26,140,940,1055,12
27,140,1080,1195,12
28,155,865,980,12
29,160,995,1110,12
30,160,1135,1250,12
31,155,1420,1535,12
32,150,1300,1350,12
33,130,1235,1350,12
34,130,1440,1555,12
35,130,1625,1740,12
36,240,1430,1545,12
37,230,885,1000,12
38,230,1045,1160,12
39,230,1195,1310,12
40,150,1385,1500,12
41,150,1520,1635,12
42,130,790,905,12
43,130,935,1050,12
44,130,1070,1185,12
0,140,1380,1495,13
1,140,1695,1810,13
2,150,960,1075,13
3,150,1125,1240,13
4,160,1710,1825,13
5,160,1290,1405,13
6,160,1560,1675,13
7,155,1640,1755,13
8,155,1265,1380,13
9,145,1360,1475,13
10,155,1080,1195,13
11,260,1620,1670,13
12,145,1540,1655,13
13,230,1345,1460,13
14,230,1710,1825,13
15,230,1550,1665,13
16,140,1215,1330,13
17,140,1540,1655,13
18,150,1705,1820,13
19,145,830,945,13
20,145,1055,1170,13
21,145,1200,1315,13
22,240,830,945,13
23,240,1065,1180,13
24,240,1220,1335,13
25,140,790,905,13
26,140,940,1055,13
27,140,1080,1195,13
28,155,865,980,13
29,160,995,1110,13
30,160,1135,1250,13
31,155,1420,1535,13
32,150,1300,1350,13
33,130,1235,1350,13
34,130,1440,1555,13
35,130,1625,1740,13
36,240,1430,1545,13
37,230,885,1000,13
38,230,1045,1160,13
39,230,1195,1310,13
40,150,1385,1500,13
41,150,1520,1635,13
42,130,790,905,13
43,130,935,1050,13
44,130,1070,1185,13
0,140,1380,1495,14
1,140,1695,1810,14
2,150,960,1075,14
3,150,1125,1240,14
4,160,1710,1825,14
5,160,1290,1405,14
6,160,1560,1675,14
7,155,1640,1755,14
8,155,1265,1380,14
9,145,1360,1475,14
10,155,1080,1195,14
11,260,1620,1670,14
12,145,1540,1655,14
13,230,1345,1460,14
14,230,1710,1825,14
15,230,1550,1665,14
16,140,1215,1330,14
17,140,1540,1655,14
18,150,1705,1820,14
19,145,830,945,14
20,145,1055,1170,14
21,145,1200,1315,14
22,240,830,945,14
23,240,1065,1180,14
24,240,1220,1335,14
25,140,790,905,14
26,140,940,1055,14
27,140,1080,1195,14
28,155,865,980,14
29,160,995,1110,14
30,160,1135,1250,14
31,155,1420,1535,14
32,150,1300,1350,14
33,130,1235,1350,14
34,130,1440,1555,14
35,130,1625,1740,14
36,240,1430,1545,14
37,230,885,1000,14
38,230,1045,1160,14
39,230,1195,1310,14
40,150,1385,1500,14
41,150,1520,1635,14
42,130,790,905,14
43,130,935,1050,14
44,130,1070,1185,14
0,140,1380,1495,15
1,140,1695,1810,15
2,150,960,1075,15
3,150,1125,1240,15
4,160,1710,1825,15
5,160,1290,1405,15
6,160,1560,1675,15
7,155,1640,1755,15
8,155,1265,1380,15
9,145,1360,1475,15
10,155,1080,1195,15
11,260,1620,1670,15
12,145,1540,1655,15
13,230,1345,1460,15
14,230,1710,1825,15
15,230,1550,1665,15
16,140,1215,1330,15
17,140,1540,1655,15
18,150,1705,1820,15
19,145,830,945,15
20,145,1055,1170,15
21,145,1200,1315,15
22,240,830,945,15
23,240,1065,1180,15
24,240,1220,1335,15
25,140,790,905,15
26,140,940,1055,15
27,140,1080,1195,15
28,155,865,980,15
29,160,995,1110,15
30,160,1135,1250,15
31,155,1420,1535,15
32,150,1300,1350,15
33,130,1235,1350,15
34,130,1440,1555,15
35,130,1625,1740,15
36,240,1430,1545,15
37,230,885,1000,15
38,230,1045,1160,15
39,230,1195,1310,15
40,150,1385,1500,15
41,150,1520,1635,15
42,130,790,905,15
43,130,935,1050,15
44,130,1070,1185,15
0,140,1380,1495,16
1,140,1695,1810,16
2,150,960,1075,16
3,150,1125,1240,16
4,160,1710,1825,16
5,160,1290,1405,16
6,160,1560,1675,16
7,155,1640,1755,16
8,155,1265,1380,16
9,145,1360,1475,16
10,155,1080,1195,16
11,260,1620,1670,16
12,145,1540,1655,16
13,230,1345,1460,16
14,230,1710,1825,16
15,230,1550,1665,16
16,140,1215,1330,16
17,140,1540,1655,16
18,150,1705,1820,16
19,145,830,945,16
20,145,1055,1170,16
21,145,1200,1315,16
22,240,830,945,16
23,240,1065,1180,16
24,240,1220,1335,16
25,140,790,905,16
26,140,940,1055,16
27,140,1080,1195,16
28,155,865,980,16
29,160,995,1110,16
30,160,1135,1250,16
31,155,1420,1535,16
32,150,1300,1350,16
33,130,1235,1350,16
34,130,1440,1555,16
35,130,1625,1740,16
36,240,1430,1545,16
37,230,885,1000,16
38,230,1045,1160,16
39,230,1195,1310,16
40,150,1385,1500,16
41,150,1520,1635,16
42,130,790,905,16
43,130,935,1050,16
44,130,1070,1185,16
